WP_000002567.1	WP_000002567.1
WP_000002661.1	WP_000002661.1
WP_000002661.1	WP_001104948.1
WP_000002804.1	WP_000002804.1
WP_000002804.1	WP_000882546.1
WP_000002804.1	WP_000020289.1
WP_000002804.1	WP_011074711.1
WP_000003861.1	WP_000003861.1
WP_000003964.1	WP_000003964.1
WP_000004254.1	WP_000004254.1
WP_000005088.1	WP_000005088.1
WP_000005484.1	WP_000005484.1
WP_000005640.1	WP_000005640.1
WP_000006720.1	WP_000006720.1
WP_000007456.1	WP_000007456.1
WP_000008111.1	WP_000008111.1
WP_000008549.1	WP_000008549.1
WP_000008549.1	WP_000673089.1
WP_000008549.1	WP_000628855.1
WP_000008878.1	WP_000008878.1
WP_000009532.1	WP_000009532.1
WP_000009663.1	WP_000009663.1
WP_000009965.1	WP_000009965.1
WP_000010476.1	WP_000010476.1
WP_000010476.1	WP_000406600.1
WP_000010476.1	WP_000667471.1
WP_000011316.1	WP_000011316.1
WP_000011926.1	WP_000011926.1
WP_000013283.1	WP_000013283.1
WP_000013400.1	WP_000013400.1
WP_000013545.1	WP_000013545.1
WP_000017573.1	WP_000017573.1
WP_000018233.1	WP_000018233.1
WP_000018233.1	WP_000614751.1
WP_000018233.1	WP_001269501.1
WP_000018233.1	WP_000587174.1
WP_000018233.1	WP_000891273.1
WP_000018233.1	WP_000582850.1
WP_000018233.1	WP_000353149.1
WP_000018433.1	WP_000018433.1
WP_000019267.1	WP_000019267.1
WP_000020289.1	WP_000020289.1
WP_000020289.1	WP_000882546.1
WP_000020289.1	WP_000002804.1
WP_000020289.1	WP_011074711.1
WP_000020721.1	WP_000020721.1
WP_000021293.1	WP_000021293.1
WP_000022113.1	WP_000022113.1
WP_000022113.1	WP_001182060.1
WP_000022172.1	WP_000022172.1
WP_000022172.1	WP_001007681.1
WP_000022338.1	WP_000022338.1
WP_000022469.1	WP_000022469.1
WP_000022832.1	WP_000022832.1
WP_000023418.1	WP_000023418.1
WP_000023462.1	WP_000023462.1
WP_000024354.1	WP_000024354.1
WP_000024418.1	WP_000024418.1
WP_000024620.1	WP_000024620.1
WP_000025251.1	WP_000025251.1
WP_000025416.1	WP_000025416.1
WP_000025416.1	WP_000584919.1
WP_000025416.1	WP_000958804.1
WP_000025478.1	WP_000025478.1
WP_000027835.1	WP_000027835.1
WP_000028890.1	WP_000028890.1
WP_000029066.1	WP_000029066.1
WP_000031192.1	WP_000031192.1
WP_000031192.1	WP_001040935.1
WP_000031276.1	WP_000031276.1
WP_000032211.1	WP_000032211.1
WP_000032295.1	WP_000032295.1
WP_000032384.1	WP_000032384.1
WP_000032384.1	WP_000230128.1
WP_000032384.1	WP_000818887.1
WP_000032384.1	WP_000593862.1
WP_000032384.1	WP_000053154.1
WP_000032384.1	WP_000181801.1
WP_000032384.1	WP_000210674.1
WP_000032384.1	WP_000529593.1
WP_000032384.1	WP_000138506.1
WP_000032384.1	WP_000189496.1
WP_000032384.1	WP_000184098.1
WP_000032384.1	WP_000120355.1
WP_000032384.1	WP_000410286.1
WP_000032384.1	WP_000193363.1
WP_000032384.1	WP_000891273.1
WP_000032384.1	WP_000510606.1
WP_000032384.1	WP_001874612.1
WP_000032384.1	WP_000923535.1
WP_000032384.1	WP_001274148.1
WP_000032384.1	WP_000229966.1
WP_000032384.1	WP_000926588.1
WP_000032384.1	WP_000852851.1
WP_000032384.1	WP_000054430.1
WP_000032384.1	WP_000651256.1
WP_000032384.1	WP_000651256.1
WP_000032384.1	WP_000644459.1
WP_000032384.1	WP_000837541.1
WP_000032384.1	WP_001227930.1
WP_000032384.1	WP_000647638.1
WP_000032384.1	WP_000481820.1
WP_000032384.1	WP_000022469.1
WP_000032384.1	WP_000472832.1
WP_000032384.1	WP_000851084.1
WP_000032513.1	WP_000032513.1
WP_000032676.1	WP_000032676.1
WP_000032989.1	WP_000032989.1
WP_000033003.1	WP_000033003.1
WP_000033483.1	WP_000033483.1
WP_000033715.1	WP_000033715.1
WP_000033796.1	WP_000033796.1
WP_000033934.1	WP_000033934.1
WP_000034648.1	WP_000034648.1
WP_000034789.1	WP_000034789.1
WP_000034789.1	WP_001176108.1
WP_000034835.1	WP_000034835.1
WP_000034943.1	WP_000034943.1
WP_000034943.1	WP_001062632.1
WP_000035940.1	WP_000035940.1
WP_000036015.1	WP_000036015.1
WP_000036813.1	WP_000036813.1
WP_000036948.1	WP_000036948.1
WP_000036990.1	WP_000036990.1
WP_000037098.1	WP_000037098.1
WP_000037314.1	WP_000037314.1
WP_000037459.1	WP_000037459.1
WP_000037656.1	WP_000037656.1
WP_000037656.1	WP_000473468.1
WP_000037656.1	WP_000152905.1
WP_000037681.1	WP_000037681.1
WP_000037681.1	WP_000857770.1
WP_000038470.1	WP_000038470.1
WP_000038547.1	WP_000038547.1
WP_000038759.1	WP_000038759.1
WP_000038817.1	WP_000038817.1
WP_000038817.1	WP_000462134.1
WP_000038843.1	WP_000038843.1
WP_000039152.1	WP_000039152.1
WP_000039372.1	WP_000039372.1
WP_000039430.1	WP_000039430.1
WP_000039435.1	WP_000039435.1
WP_000039538.1	WP_000039538.1
WP_000039971.1	WP_000039971.1
WP_000040811.1	WP_000040811.1
WP_000040811.1	WP_000505339.1
WP_000040950.1	WP_000040950.1
WP_000040950.1	WP_000609828.1
WP_000041114.1	WP_000041114.1
WP_000042127.1	WP_000042127.1
WP_000042136.1	WP_000042136.1
WP_000042576.1	WP_000042576.1
WP_000042845.1	WP_000042845.1
WP_000043255.1	WP_000043255.1
WP_000043857.1	WP_000043857.1
WP_000043887.1	WP_000043887.1
WP_000044615.1	WP_000044615.1
WP_000047046.1	WP_000047046.1
WP_000047535.1	WP_000047535.1
WP_000048058.1	WP_000048058.1
WP_000048109.1	WP_000048109.1
WP_000048144.1	WP_000048144.1
WP_000048144.1	WP_000861302.1
WP_000048144.1	WP_001176108.1
WP_000048144.1	WP_000625597.1
WP_000049182.1	WP_000049182.1
WP_000049271.1	WP_000049271.1
WP_000049317.1	WP_000049317.1
WP_000050394.1	WP_000050394.1
